group_by,group_value,execution_count,reported_non_null_count,reported_missing_count,reported_exact_match_count,reported_mismatch_count,difference_raw_sum,max_abs_difference_raw,difference_frequency
execType,Funding,12905,1849,11056,0,1849,126112474,2516254,
execType,Settlement,19,1,18,0,1,0.2521739130434782608695652174,0.2521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826,
execType,Trade,160302,13889,146413,0,13889,-75153661.94595007101396210192,546020,
payout_model,INVERSE,104899,15488,89411,0,15488,51141537.30622384202951615900,2516254,
payout_model,LINEAR,17948,80,17868,0,80,-59521.00000000000000000000000,3341,
payout_model,QUANTO,50379,171,50208,0,171,-123204.0000000000000000000000,5859.48,
symbol,AAVEUSDT,567,0,567,0,0,0,0,
symbol,ADAM20,366,0,366,0,0,0,0,
symbol,ADAUSD,575,0,575,0,0,0,0,
symbol,ADAUSDT,155,0,155,0,0,0,0,
symbol,ALTMEXUSD,70,0,70,0,0,0,0,
symbol,AXSUSDT,919,0,919,0,0,0,0,
symbol,BCHH21,101,0,101,0,0,0,0,
symbol,BCHUSD,154,0,154,0,0,0,0,
symbol,BMEXUSD,143,0,143,0,0,0,0,
symbol,BNBUSD,28,0,28,0,0,0,0,
symbol,BNBUSDT,185,0,185,0,0,0,0,
symbol,DOGEUSD,5924,171,5753,0,171,-123204.0000000000000000000000,5859.48,
symbol,DOGEUSDT,2068,0,2068,0,0,0,0,
symbol,DOTUSDT,3506,0,3506,0,0,0,0,
symbol,DOTUSDTH21,49,0,49,0,0,0,0,
symbol,EOSH21,37,0,37,0,0,0,0,
symbol,EOSUSDTZ20,7,0,7,0,0,0,0,
symbol,ETHH21,1138,0,1138,0,0,0,0,
symbol,ETHH22,477,0,477,0,0,0,0,
symbol,ETHH23,391,0,391,0,0,0,0,
symbol,ETHH24,35,0,35,0,0,0,0,
symbol,ETHM20,86,0,86,0,0,0,0,
symbol,ETHM21,178,0,178,0,0,0,0,
symbol,ETHM22,234,0,234,0,0,0,0,
symbol,ETHM23,351,0,351,0,0,0,0,
symbol,ETHM24,282,0,282,0,0,0,0,
symbol,ETHU20,221,0,221,0,0,0,0,
symbol,ETHU21,476,0,476,0,0,0,0,
symbol,ETHU22,47,0,47,0,0,0,0,
symbol,ETHU23,180,0,180,0,0,0,0,
symbol,ETHU24,157,0,157,0,0,0,0,
symbol,ETHUSD,19470,0,19470,0,0,0,0,
symbol,ETHUSDZ20,8,0,8,0,0,0,0,
symbol,ETHZ20,1168,0,1168,0,0,0,0,
symbol,ETHZ21,870,0,870,0,0,0,0,
symbol,ETHZ22,182,0,182,0,0,0,0,
symbol,ETHZ23,271,0,271,0,0,0,0,
symbol,ETHZ24,80,80,0,0,80,-59521.00000000000000000000000,3341,
symbol,LINKUSDT,253,0,253,0,0,0,0,
symbol,LINKUSDTZ20,16,0,16,0,0,0,0,
symbol,LTCH21,1414,0,1414,0,0,0,0,
symbol,LTCM20,387,0,387,0,0,0,0,
symbol,LTCM21,172,0,172,0,0,0,0,
symbol,LTCU20,316,0,316,0,0,0,0,
symbol,LTCU21,418,0,418,0,0,0,0,
symbol,LTCUSD,7473,0,7473,0,0,0,0,
symbol,LTCZ20,816,0,816,0,0,0,0,
symbol,LTCZ21,122,0,122,0,0,0,0,
symbol,LUNAUSD,428,0,428,0,0,0,0,
symbol,ORDIUSD,407,0,407,0,0,0,0,
symbol,TRXH21,2218,0,2218,0,0,0,0,
symbol,TRXM20,137,0,137,0,0,0,0,
symbol,TRXM21,1468,0,1468,0,0,0,0,
symbol,TRXU20,771,0,771,0,0,0,0,
symbol,TRXU21,1759,0,1759,0,0,0,0,
symbol,TRXUSDT,27,0,27,0,0,0,0,
symbol,TRXZ20,498,0,498,0,0,0,0,
symbol,TRXZ21,124,0,124,0,0,0,0,
symbol,UNIUSDT,889,0,889,0,0,0,0,
symbol,XBTM21,19,0,19,0,0,0,0,
symbol,XBTUSD,104880,15488,89392,0,15488,51141537.30622384202951615900,2516254,
symbol,XLMUSDT,54,0,54,0,0,0,0,
symbol,XRPUSD,6128,0,6128,0,0,0,0,
symbol,XTZUSDTZ20,9,0,9,0,0,0,0,
symbol,YFIUSDTH21,359,0,359,0,0,0,0,
symbol,YFIUSDTZ20,508,0,508,0,0,0,0,
